login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
raysan5,raysan5/rini,2023-05-18T13:56:27Z,61,61,C,False,False,zlib
raysan5,raysan5/raylib-game-template,2021-06-30T16:44:07Z,406,406,C,False,False,zlib
raysan5,raysan5/rguistyler,2018-08-17T17:53:28Z,52,52,C,False,False,zlib
raysan5,raysan5/rguiicons,2019-09-01T09:56:12Z,49,49,C,False,False,zlib
raysan5,raysan5/rfxgen,2017-03-04T12:35:46Z,428,428,C,False,False,zlib
raysan5,raysan5/raudio,2019-01-19T15:23:09Z,171,171,C,False,False,zlib
raysan5,raysan5/raylib-games,2020-04-10T18:47:08Z,560,560,C,True,True,zlib
raysan5,raysan5/raygui,2016-06-15T18:33:19Z,3520,3520,C,False,False,zlib
raysan5,raysan5/raylib.com,2017-07-24T17:39:55Z,70,70,C,False,False,zlib
raysan5,raysan5/raysan5,2024-04-20T10:11:55Z,9,9,,True,True,
raysan5,raysan5/riconpacker,2018-09-28T15:49:10Z,46,46,C,False,False,zlib
raysan5,raysan5/rpng,2020-05-27T10:06:23Z,171,171,C,False,False,zlib
raysan5,raysan5/rres,2017-12-08T18:23:57Z,392,392,C,False,False,mit
raysan5,raysan5/FileDetectionRuleSets,2024-03-29T08:57:03Z,2,2,PHP,True,False,mit
raysan5,raysan5/raylib-intro-course,2022-11-13T17:43:34Z,193,193,C,False,False,other
raysan5,raysan5/challenges,2017-02-23T16:32:32Z,165,165,C,False,False,other
raysan5,raysan5/raylib-code-club,2022-08-31T19:15:21Z,28,28,C,False,False,zlib
raysan5,raysan5/physac,2022-06-06T08:51:00Z,24,24,C,False,False,
raysan5,raysan5/mic,2021-09-25T22:13:57Z,23,23,C,False,False,mit
raysan5,raysan5/raylib-lua,2017-02-05T01:59:21Z,123,123,C,False,False,other
raysan5,raysan5/game_project_template,2020-02-09T12:36:22Z,19,19,C++,False,False,mit
raysan5,raysan5/mod,2019-12-04T19:42:22Z,47,47,,False,False,mit
